,NA,1to,2long,2fo,2small,4long,4to,4small,8long,8vo,8small,12long,12mo,16long,16mo,18mo,24long,24mo,32mo,40mo,48mo,64mo,80mo,84mo
height,width,width,width,width,width,width,width,width,width,width,width,width,width,width,width,width,width,width,width,width,width,width,width,width
110,66,73,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
109,66,72,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
108,65,72,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
107,64,71,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
106,64,70,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
105,63,70,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
104,63,69,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
103,62,69,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
102,61,68,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
101,61,67,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
100,60,67,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
99,60,66,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
98,59,65,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
97,58,65,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
96,58,64,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
95,57,63,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
94,57,63,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
93,56,62,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
92,55,61,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
91,55,61,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
90,54,60,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
89,54,59,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
88,53,59,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
87,52,58,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
86,52,57,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
85,51,57,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
84,50,56,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
83,50,55,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
82,49,55,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
81,49,54,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
80,48,53,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
79,47,53,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
78,47,52,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
77,46,51,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
76,46,51,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
75,45,50,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
74,45,49,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
73,44,49,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
72,43,48,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
71,43,47,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
70,42,47,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
69,42,46,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
68,41,45,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
67,40,45,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
66,40,44,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
65,39,43,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
64,39,43,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
63,38,42,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
62,37,41,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
61,37,41,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
60,36,40,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
59,36,39,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
58,36,39,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
57,35,38,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
56,35,37,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
55,34,37,34,34,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,34,36,34,34,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
53,33,35,33,33,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
52,33,35,33,33,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
51,32,34,32,32,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
50,32,33,32,32,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
49,31,33,31,31,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
48,31,32,31,31,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
47,30,31,30,30,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
46,30,31,30,30,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
45,29,30,x,29,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
44,29,29,x,29,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
43,28,29,x,28,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
42,27,28,x,27,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
41,27,27,x,27,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
40,26,27,x,26,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
39,26,x,x,26,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
38,35,x,x,25,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
37,25,x,x,25,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
36,24,x,x,24,x,28,28,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
35,23,x,x,23,x,27,27,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
34,22,x,x,22,x,27,27,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
33,22,x,x,22,x,26,26,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
32,21,x,x,21,x,25,25,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
31,21,x,x,20,20,24,24,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
30,20,x,x,20,20,23,23,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
29,20,x,x,19,19,x,23,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
28,20,x,x,18,18,x,22,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
27,20,x,x,17,17,x,21,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
26,20,x,x,17,17,x,20,x,14.5,16,x,x,x,x,x,x,x,x,x,x,x,x,x,x
25,19,x,x,17,17,x,19,x,14,16,x,x,x,x,x,x,x,x,x,x,x,x,x,x
24,19,x,x,16,16,x,19,x,14,15,x,x,x,x,x,x,x,x,x,x,x,x,x,x
23,18,x,x,16,16,x,18,x,13.5,15,x,15,15,x,x,x,x,x,x,x,x,x,x,x
22,15,x,x,x,x,x,18,x,13,15,x,14,14,x,x,x,x,x,x,x,x,x,x,x
21,14,x,x,x,x,x,17,x,x,14,x,14,14,x,x,x,x,x,x,x,x,x,x,x
20,13,x,x,x,x,x,17,x,x,13,x,13.5,13,x,x,x,x,x,x,x,x,x,x,x
19,13,x,x,x,x,x,16,x,x,13,x,13,12.5,14,14,x,x,x,x,x,x,x,x,x
18,12,x,x,x,x,x,16,16,x,12,x,12,12,14,14,11,x,x,x,x,x,x,x,x
17,12,x,x,x,x,x,15,15,x,12,11,11,12,13.5,13.5,10.5,x,x,x,x,x,x,x,x
16,11,x,x,x,x,x,14,14,x,11,11,x,11.5,13,13,10,10.5,10.5,x,x,x,x,x,x
15,12,x,x,x,x,x,14,14,x,11,10,x,11,x,12,10,10,10,x,x,x,x,x,x
14,11,x,x,x,x,x,x,x,x,10,10,x,10,x,11,9,10,10,x,x,x,x,x,x
13,10,x,x,x,x,x,x,x,,9,9,x,x,x,10,9,9.5,9.5,8,x,x,x,x,x
12,9,x,x,x,x,x,x,x,,x,x,x,x,x,9,x,x,9,7,x,x,x,x,x
11,8,x,x,x,x,x,x,x,,x,x,x,x,x,8,x,x,8,7,6,x,x,x,x
10,7,x,x,x,x,x,x,x,,x,x,x,x,x,7,x,x,x,6,6,x,x,x,x
9,6,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,6,6,x,x,x,x
8,6,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,6,x,x,6,x,x
7,5,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,10,5,4,x
6,4,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,10,4,4,x
5,4,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,9.5,4,x,3.5
