synonyme	name
<name> [wv]ainaj?an lesk.*	leski
<name> [wv]ainaj?an perill.*	perilliset
<name> [wv]ainaj?an perikun.*	perilliset
<name> [WwVv]ainaj?an?	vainaja
<name> [Ll]eski	leski
<name> [Ll]esken	leski
<name> [Pp]erilliset	perilliset
<name> [Pp]erillisten	perilliset
<name> [Pp]erikunta	perilliset
<name> [Pp]erikunnan	perilliset
[[:upper:]][[:lower:]]+,( ([[:upper:]][[:lower:]]+)|([[:upper:]][.])) [Ll]eski	leski
[[:upper:]][[:lower:]]+,( ([[:upper:]][[:lower:]]+)|([[:upper:]][.])) [Ll]esken	leski
[[:upper:]][[:lower:]]+,( ([[:upper:]][[:lower:]]+)|([[:upper:]][.])) [WVwv]ainaj?an leski	leski
[[:upper:]][[:lower:]]+,( ([[:upper:]][[:lower:]]+)|([[:upper:]][.])) [WVwv]ainaj?an perilliset	perilliset
[[:upper:]][[:lower:]]+,( ([[:upper:]][[:lower:]]+)|([[:upper:]][.])) [WVwv]ainaj?an perikunta	perikunta
[[:upper:]][[:lower:]]+,( ([[:upper:]][[:lower:]]+)|([[:upper:]][.])) [Pp]erilliset	perilliset
[[:upper:]][[:lower:]]+,( ([[:upper:]][[:lower:]]+)|([[:upper:]][.])) [Pp]erillisten	perilliset
[[:upper:]][[:lower:]]+,( ([[:upper:]][[:lower:]]+)|([[:upper:]][.])) [Pp]erikunta	perilliset
[[:upper:]][[:lower:]]+,( ([[:upper:]][[:lower:]]+)|([[:upper:]][.])) [Pp]erikunnan	perilliset
[[:upper:]][[:lower:]]+,( ([[:upper:]][[:lower:]]+)|([[:upper:]][.])) [WVwv]ainaj?an?	vainaja
