synonyme	name
[0-9]+ half-sheets
^\?to$
\([0-9]\?\)	
2⁰\([0-9]\?\)	2fo
2fo\([0-9]\?\)	2fo
horizontal chain lines
\"	°
⁸	°
⁰.̊	°
°\. '	°
₀   °
\.°	°
\.\?	°
 °	°
°	°
 ⁰\.	°
₀.	°
⁰	°
º	°
⁰\.	°
°\.	°
⁹	°
\.̊	°
^\°to$
'	°
1/
^o$
later,
poikittais-	obl. 
oblong	obl.
grand papier	long
grand	long
vigesimo-quarto	24mo
trigesimo-segundo	32mo
quadragesimo-octavo	48mo
sexagesimo-quarto	64mo
duodecimo-long	12long
quarto \[fewer than 50 pages\]	4to
Broadsheet	bs
broadsheet	bs
Broadside	bs
broadside	bs
broad1to	bs
bs	1to
sheet	1to
folio-large	2long
folio-small	2small
folio	2fo
quarto-long	4long
quarto-small	4small
quarto	4to
octavo	8vo
duodecimo	12mo
sextodecimo	16mo
octodecimo	18mo
84to	84to
64to	64mo
48to	48mo
40to	40to
32to	32mo
24to	24mo
18to	18mo
16to	16mo
12long	12long
12to	12mo
fol\.	2fo
fol 	2fo
64°	64mo
64:o	64mo
^64\.$	64mo
48°	48mo
48:o	48mo
^48\.$	48mo
32°	32mo
32:o	32mo
^32\.$	32mo
24°	24mo
24:o	24mo
^24\.$	24mo
18°	18mo
18:o	18mo
^18\.$	18mo
16°	16mo
16:o	16mo
^16\.$	16mo
12°	12mo
12:o	12mo
^12\.$	12mo
8°	8vo
8:o	8vo
^8\.$	8vo
4°	4to
4:o	4to
^4\.$	4to
2°	2fo
2:o	2fo
^2\.$	2fo
1°	1to
^1\.$	1to
^to$	NA
1to	1to
8to	8vo
4long	4long
4small	4small
4to	4to
2small	2small
2long	2long
2to	2fo
NAto	NA
vo[s|p|\?|\.]	vo
to[s|p|\?|\.]	to
mo[s|p|\?|\.]f{0,1}	mo
fo[s|p|\?|\.]	fo
\?	°
:[o|0]	to
2fo-obl\. 2fo	2fo
\(\?\)
^na$	NA
o°	o
\.o\.	to
(fol)	2fo
cm\(	cm (




