synonyme	name
^p\. [0-9]$	1
^p\. [0-9][0-9]$	1
^p\. [0-9][0-9][0-9]$	1
233-248 leaves	233-248,
205-216 leaves	205-216,
107-133 leaves	107-133,
xlix-liip\. ;	xlix-lii
Ff\. 	Ff.,
3\.	3,
c1 \.	
32t p.	32 p.
\[1⁺\]	[1]
1/ \.$	,1
c1⁰\.$	
\[x\]	 
+\]	]
\[2\] single and \[8\] double leaves of plates	[2],[8]
\[fewer than 50 pages\]	 
\[No pagination provided\]	 
in various pagings	 
 and 	 
leaf	 leaf
53a-62k	53-62
:bill	 
:ill	 
bill	 
bill\.	 
?\]	] 
\+	     
[0-9][0-9] no. ;	 
[0-9] no. ;	 
[0-9][0-9][0-9] columns	 
bis	
\*	
\] p\. \[	] p., [
\[\?\]	 
\?	 
\+\}	]
ca\.	 
\]	] 
\[	 [
\)	) 
\(	 (
leaves \[	leaves, [
leaf \[	leaf, [
\] \[	], [
s\.	p.
S\.	p.
p \[	p, [
p \(	p, (
p\. \[	p, [
p\. \(	p, (
p\.\]	p]
