synonyme|name
[0-9]+ uppsatser med särskild pag.| 
\([0-9]+vo\)|
\([0-9]+to\)|
\([0-9]+mo\)| 
a-m| 
\\#\\, ,| 
3\.|3,
32t p\.|32 p.
c1 \.| 
\[fewer than 50 pages\]| 
\[No pagination provided\]|
the last [0-9]+ p. blank|
p. [[0-9]+] blank|
verso blanko| 
blanko| 
in various pagings|
 and | 
53a-62k|53-62
bis|
\=\(s. [0-9\\]+-[0-9]+ opag.\)|
\=\(s. [0-9\\]+-[0-9]+ opag. annons.\)|
\=\(s. [0-9]+/[0-9]+ blank\)| 
+\]|\]
\[2\] single and \[8\] double leaves of plates|\[2\],\[8\]
[0-9]* no. ;| 
[0-9]{1,3} columns| 
:*b{0,1}ill\.*|
 ill\.*| 
ca\.|
ca |
ca$|
sid.|
bl\.|plates
tab\.|sheets
tab$|sheets
bl$|plates
\+\}|\]
\[\?\]| 
e\\.\\,|e
leaves \[|leaves, \[
leaf \[|leaf, \[
\] \[|\], \[
xlix-liip\. ;|xlix-lii
\[1⁺\]|\[1\]
\[x\]| 
\*|,
