name;synonyme
Finnish;fin
Swedish;swe
Latin;lat
German;ger
English;eng
French;fre
Russian;rus
Greek;grc
Danish;dan
Italian;ita
Hebrew;heb
Dutch;dut
Spanish;spa
Sami;smi
Modern_greek;gre
Icelandic;ice
Arabic;ara
Portuguese;por
Finnougrian;fiu
Multiple;mul
Undetermined;und
Undetermined;n/a
Welsh;wel
alg;alg
ang;ang
arm;arm
arw;arw
ben;ben
cop;cop
del;del
enm;enm
frm;frm
gae;gae
gc;g c
gla;gla
gle;gle
glv;glv
got;got
guj;guj
iro;iro
lit;lit
mal;mal
may;may
moh;moh
mon;mon
nai;nai
new;new
pal;pal
pau;pau
per;per
roa;roa
san;san
sco;sco
tam;tam
tur;tur
