synonyme|name
Pani präntihin | 
Revisa \[et\] recusa |
wastudesta p|p
annettu|painettu
caupungis|painettu
typis |painettu 
Präntätyd|painettu
prändätty|painettu
präntettu|painettu
prändättyt|painettu
präntättyt|painettu
präntätty|painettu
pränädtty|painettu
prändätty|painettu
präntätyd|painettu
präntätyt|painettu
prändätyt|painettu
prentattu|painettu
prentättu|painettu
prentätty|painettu
prentetty|painettu
prändäty|painettu
präntäis|painettu
präntäty|painettu
pränttäis|painettu
prendäty|painettu
prentat|painettu
pränt|painettu
pränd$|painettu
paynettu|painettu
Paynettu|painettu
painettu|printed
^af |
^ja |
^Ja |
armollisimman käskyn jälken |
anomuxen jälkeen |
tekijä |
^t |
^pani hin |
^Pani hin |
^Pani ihin |
^pani ihin |
 pani ihin |
^[a-z]$|
^[A-Z]$|
^[0-9]$|
^toisen kerran |
^kolmanen kerran |
^kolmannen kerran |
