synonyme|name
imprimebatur|imprime 
imprimebat|imprime 
impressum|imprime 
impressus|imprime 
impressit|imprime 
imprimee|imprime 
impress\.|imprime 
impressa|imprime
imprimeà́|imprime
imprimè |imprime 
imprimé|imprime
se vend à |imprime 
imprimè|imprime 
imprimé|imprime 
imprimee|imprime 
l'imprime|imprime 
l'imprimeà́ |imprime 
mebat|imprime 
publié|imprime 
stampata|imprime
sur l'imprime |imprime 
impr |imprime 
impr\.|imprime 
impre |imprime 
^à́ |
Imprimé á |imprime 
imprime à |imprime 
imprime a |imprime 
^a imprime|imprime 
^A imprime|imprime 
^I imprime|imprime 
^viduam |printed in 
^viduae |printed in 
direct\.| 
^mebat | 
imprime |printed
imprime$|printed
cum privilegio|
na de copye tot |
