name;synonyme
 ;·
 ;̂
 ;ʹ
 ;`
 ;´
 ;\*+
 ;\\#+
 ;\\^+
 ;\++
 ;\\!+  
 ;°
a;à
a;a︠
a;`a
a;å
a;ă
a;ã
a;ä
a;ā
a;â
a;à
a;á
a;â
a;ā
a;á
a;a̋
a;å̊
a;å
b;ḃ
b;b́
b;b̐
c;ć
c;ç
c;č
c;č
d;ð
d;þ
d;d⁻
e;ẽ
e;ë
e;`e
e;ě
e;ē
e;ẽ
e;è
e;e̥
e;ě
e;ẹ
e;é
e;e︡
e;ê
e;è
e;e
e;é
e;ê
e;ē
i;ī
i;i̊
i;í
i;ï
i;ī
i;ï
i;î
i;í
i;ì
i;ı̄
i;ı︠
k;ḳ
l;lʾ
l;lʹ
l;l'
l;ḷ
l;ł
m;mʺ
n;ñ
n;ṅ
n;⁻n
n;ń
n;ñ
n;n̄
n;ṉ
n;n⁰
o;ò
o;ö
o;oʹ
o;ʺo
o;ô
o;ó
o;õ
o;ó
o;ō
o;ø
o;o⁻
o;ô
o;o̧
o;ō
o;ô
p;p̃
p;p̄
p;p̆
q;qʾ
r;ř
r;ŕ
s;ṡ
s;ś
s;š
s;š
s;s̃
s;sʹ
s;ś
t;ṭʾ
t;ṭ
t;ṭ
u;ǔ
u;ǔ
u;ú
u;ù
u;ú
u;ũ
u;û
u;ü
u;ü
u;û
v;v'
w;ŵ
y;ŷ
y;ÿ
y;ÿ
ö;ǒ
ss;ß
ae;æ
ae;œ
ue;ü
z;ž
z;ž
 ;¿
 ;@

