synonyme	name
[Bb]röd[.]	bröderna
[Bb]r[.]	bröderna
 och 	 & 
 o[.]? 	 & 
 och 	 & 
& [Ss]:r	& Söner
& [Ss][.]	& Söner
& [Ff]ils	& Söner
& [Ss][.]r[.]	& Söner
& [Ss]oner	& Söner
& [Cc]o[.]	& Co
& [Cc]:o	& Co
& [Kk][.]?	& Co
[Kk]ungl[.]	Kungliga
[Kk]ungliga	Kungliga
[Kk]ongl[.]	Kungliga
[Kk]ongliga	Kungliga
[Kk]gl[.]	Kungliga
[Ff]ören[.]	förening
[Ff]ören$	förening
-stift[.]	stiftelse
[Ss]tift[.]	stiftelse
-stiftelse	stiftelse
stift$	stiftelse
[Ee]v[.]	Evangeliska
[Ee]vang[.]	Evangeliska
[']s 	s 
[']s$	s
 i samverkan med.*	
 i komm[.]	
 i kommission	
 in [Kk]ommission	
 i komm$	
kommissionär	
 i distr$	
 i distr[.]	
[,] distr[.]	
[,] distr$	 
distribuent	
[Kk]ejs[.]	Kejserliga
[Kk]ejserl[.]	Kejserliga
[Uu]niv[.]?-	universitets
[Uu]niv[.]s	universitets
[Uu]niv:s	universitets
[Uu]niv[.]	universitets
[Uu]niv:ts	universitets
[Bb]okh[.]	bokhandel
[Bb]okh$	bokhandel
[Dd]istr[.]	
[Dd]istribuent	
[Dd]istrib[.]	
[Dd]istribution	
[Dd]istributör	
[Aa]kad[.]	Akademiska
[Nn]ord[.]	Nordiska
[Ss]v[.]	Svenska
[Ss]kandinav[.]	Skandinaviska
[Ss]kand[.]	Skandinaviska
[Ss]ällsk[.]	sällskap
[Ss]ällsk$	sällskap
[Ss]tyr[.]	styrelse
styr$	styrelse
styr:s	styrelse
anst$	anstalte
anst:s	anstalte
litt[.]-	litteratur
samf[.]	samfund
samf$	samfund
[Bb]ibl[.]	biblioteket
[Bb]ibl:s	bibliotekets
^SKD$	Svenska kyrkans diakonistyrelse
^SKS$	Suomalaisen kirjallisuuden seura
[Kk]ristl[.]	Kristliga
[Ff]örf:n	författare
[Ff]örf[.]	författare
[Ff]örf$	författare
^[Uu]tg[.] av	
[Uu]tg$	utgivare
[Uu]tg[.]	utgivare
[Uu]tg:ne	utgivare
[Uu]tg:n	utgivare
[Uu]tg$	utgivare
[[]för[]].*	
[[]för .*?[]]	
[Ee]xp[.] 	
[Ee]xpeditör 	
[Tt]idn$	tidning
tidn:s	tidning
tidn:	tidning
[Tt]idn[.]	tidning
[Ff]osterl[.]	fosterlands
[Kk]oop[.]	kooperativa
[Aa]ntikv[.]?$	antikvariat
[Aa]ntikv[.]	antikvariska
^hos 	
^[Tt]r[.] hos 	
 i [0-9]+ (numr[.] )?ex[.]	
[Tt]ryckt uti thet 	
[Tt]ryckt uti 	
[Tt]ryckt i 	
[Aa]vd[.]	avdelning
avd$	avdelning
[Ff]öretagen	företag
[Tt]idskr[.]	tidskrift
[Hh]ögkv[.]	högkvarter
[Hh]ögkv$	högkvarter
bl[.]	blad
bl$	blad
[Cc]orresp:s	correspondent
[Cc]orresp$	correspondent
litogr[.]	litografiska
litogr$	litografiska
litograf$	litografiska
litograf[.]	litografiska
[Aa]llm[.]	allmänna
[Kk]vinnl[.]	kvinnliga
[Mm]iss[.]	mission
arb[.]	arbete
-arb$	arbete
[Dd]agl[.]	dagliga
alleh:s	allehanda
alleh:as	allehanda
alleh:	allehanda
alleh[.]	allehanda
Frk[.]	fröken
[Ff]örb[.]	förbund
[Ff]örb$	förbund
[Ff]örb 	förbund 
stud[.]	student
rör[.]	rörelse
Reg[.]	regis
Regis 	regis
Königl[.]	königlische
Kungliga	kungliga
s [Tr]r[.]	Tryckeri
s? tr$	Tryckeri
[Oo]ffsettr[.]?	Tryckeri
[Tt]ryckeri-ab	Tryckeri
s [Ff]örb[.]	Förbund
[Ff]örb[.]	Förbund
[Ff]orlag	Förlag
[Ff]örl[.]	Förlag
[Ff]orl[.]	Förlag
[Ff]örl$	Förlag
[Ff]orl$	Förlag
[Bb]okf[.]	Förlag
[Bb]okf$	Förlag
[Ff]örlagsavd[.]	Förlag
[Ff]örlagsexp[.]	Förlag
[Ff]örlag[^ ]+ [Ff]örlag	Förlag
