synonyme	name
[Ff]öreningen	förening
[Ss]tiftelsen	stiftelse
[Kk][.] hofbok	hofbok
[Kk]ungl[.] hofbok	hofbok
[Kk]ungliga hofbok	hofbok
[Bb]okhandeln	bokhandel
-[Bb]okhandel	bokhandel
[Ss]ällskapet	sällskap
[Ss]tyrelsen	styrelse
anstalten	anstalte
samfundet	samfund
[Ff]örfattaren	författare
[Ff]örfattarinna	författare
[Uu]tgivaren	utgivare
[Uu]tgivarinnan	utgivare
[Uu]tgivarinna	utgivare
[Tt]idningen	tidning
s? ?[Aa]ktieb[.]	
(s )?[Aa][Bb]	
s? ?[Aa]ktb[.]	
s? ?[Aa][.]-[Bb][.]	
s? ?[Aa][.]-[Bb]	
s? ?[Aa]ktiebolaget	
s? ?[Aa]ktiebolag	
s? ?[Ff]örlagsaktiebolaget	
s? ?[Ff]örlagsaktiebolag	
s? ?[Ff]örlagsa[.]-b[.]	
[Aa]vdelningen	avdelning
[Tt]idskrifts	tidskrift
bladet$	blad
[Ff]örbundet	förbund
(s )?[Bb]oktr[.]?	Tryckeri
[Bb]oktryckeriet	Tryckeri
[Bb]oktryckeri	Tryckeri
[Oo]ffsettryckeriet	Tryckeri
[Oo]ffsettryckeri	Tryckeri
[Tt]ryckeriet	Tryckeri
s [Ff]örbundet	Förbund
s [Ff]örbund	Förbund
[Ff]örbundet	Förbund
s [Ff]örlaget	Förlag
s [Ff]orlaget	Förlag
s [Ff]örlag	Förlag
s [Ff]orlag	Förlag
s [Ff]örl[.]	Förlag
s [Ff]orl[.]	Förlag
s [Ff]örl$	Förlag
s [Ff]orl$	Förlag
s [Bb]okförlaget	Förlag
s [Bb]okforlaget	Förlag
s [Bb]okförlag	Förlag
s [Bb]okforlag	Förlag
s [Bb]okförl[.]	Förlag
s [Bb]okforl[.]	Förlag
s [Bb]okförl$	Förlag
s [Bb]okforl$	Förlag
[Bb]okförlaget	Förlag
[Bb]okforlag	Förlag
[Bb]okförlag	Förlag
[Bb]okforlag	Förlag
[Bb]okförl[.]	Förlag
[Bb]okforl[.]	Förlag
[Bb]okförl$	Förlag
[Bb]okforl$	Förlag
[Ff]örlaget	Förlag
[Ff]orlaget	Förlag
[Ff]örbund	
[Ff]örlag	
[Kk]ejserliga	
[Tt]ryckeri	
[Pp]ublishing House	
[Pp]ubl[.] House	
international	
[Pp]ubl[.] [Cc]o[.]	
^[Tt]ryc?kt.*((med)|(hos)|(aff?)|(av)|([,]))	
