name;synonyme;comment
Amwythig;Argraphwŷd y mwŷthig;
Boston England;boston england;
Cambridge;cambridge england;
York;Ebor;
Helsingor;helsingor;
Paris;lutetiae parisiorum paris londini;
Newport RI;Novum portum ri;
Le Mans;le mans;
Buenos Aires;buenos aires;
Leipzig;Leipzig zuellichau;
London;Londinii augustae;
Amsterdam;amsterdam id;
Amsterdam;Amsterdam john johnson bookseller dwelling upon water passe card;
Amsterdam;anno dni amsterdam;
Boston Ma;Bostonae new england;
Boston Ma;Bostoniae new england;
Boston Ma;Bostoni new england;
Boston Ma;Bostoni new england mdccxxxiii;
Boston England;boston england;
Cambridge Ma;cambridge england mass;
Cambridge Ma;cantabrigiae new england;
Cambridge Ma;cantabrigiae new englande;
Cambridge Ma;cantabrigiae new england l;
Cambridge Ma;cantabrigia new england;
Canterbury;Canterbury england;
The Hague;haye hague;
The Hague;haye london;
London;i l lvndain;
Lancester Pa;lancester pa;
London;Londres neuchatel;
Cambridge;cantabrigiam;
Oxford;oxoniensi;
London;westmonasterium london;
Wilmington n rth carolina;
Bergen;bergen stockholm kjobenhavn
Turku;enthlimmenon aboe
Madrid;madrid
Venice;venice
Paris;paris 
Sevilla;sevilla
Valencia;valencia
The Hague;la haie 
Liège;li\x8fge
Liège;lie\?ge
Lausanne;lausanne
Lausanne;lausanne geneve 
Paris;Lo paris
Brussels;bruselas
Madrid;madrid madrid 
The Hague;haya
Delft;delft 
Valencia;valencia valencia 
Copenhagen;kio\?benhavn 
Amsterdam;amsterdam
Leipzig;leipsique
Frankfurt;frankfurt leipzig 
Madrid;dadrid por de la cuesta casa de f de robles 
Chatham;chatham;
Madrid;madr
Madrid;madrid real costa de m de la bastida
The Hague;haia
The Hague;haye
Sevilla;seuilla
Brussels;brucelas
Crewkerne;crewekerne;
Brussels;brusselas 
Brussels;brvselas
Sevilla;seuilla 
Helsinki;gel singfors;
Helsinki;gel singfors гельсингфорсъ;
Helsinki;gel singfrs;
Helsinki;gel zingfors;
Helsinki;p gel singfors;
Stockholm;stokgol m;
Worcester Ma;columbia worcester massachusetts;
Columbia SC;columbia;
Aachen;aix la chapelle;
Aarhus;århus;
Aarhus;occidentalis arhusae;
Abartawe;swansea;
Aberdaugleddau;milford haven;
Aberdeen;abedreen;
Aberdeen;ab erdeen;
Aberdeen;aberdeen aberdeen;
Aberdeen;aberdeene;
Aberdeen;aberdeen scotland;
Aberdeen;aberdeis;
Aberdeen;aberden;
Aberdeen;aberdene;
Aberdeen;aberdoniae;
Aberdeen;aberdoniae;
Aberdeen;aberdonie;
Aberdeen;aberdoniis;
Aberdeen;abredaeis;
Aberdeen;abredeis;
Aberdeen;ab redoniae;
Aberdeen;abredoniae;
Aberdeen;ab redoniae;
Aberdeen;abredoniae;
Aberdeen;abredoniae aeerdene;
Aberdeen;abredoniis;
Aberdeen;aeerdeen;
Aberdeen;aeerdene;
Aberdeen;abredeis aberdeen;
Aberhonddu;brecknock;
Aberhonddu;brecon;
Bethania NC;bethania nc;
Abermaw;barmouth;
Adpar;trefhedyn;
Aix-en-Provence;aix;
Albany NY;albany;
Albany NY;albany york;
Albany NY;albany america;
Alcester;aulcester;
Aldershot;aldershot farnham surry;
Aldershot;aldershot surry;
Aldershot;aldershot farnham;
Alexandria Va;alexandria;
Alexandria Va;alexandriava;
Alexandria Va;alexandria virginia;
Alfend;alfeld leine;
Alfend;alfend;
Almena Wi;almena;
Almena Wi;almena wis;
Almena Wi;almena wisconsin;
Alnwick;alnwick;
Alnwick;alnwick england;
Alston;alston england;
Altdorf;altdorfi;
Altenburg;altenbourg;
Altenburg;altenburgh;
Altenstein;alten stetin;
Altenstein;alten stettin;
London;white hall;
America;americae;
Amherst NH;amherst;
Amherst NH;amherst new hampshire;
Amherst NH;amherst newhampshire;
Amsterdam;Amstelaedami londini;
Amsterdam;amsterdam;
Amsterdam;amsterdam;
Amsterdam;amstelaedami;
Amsterdam;amsteldam;
Amsterdam;amsteldam et a leipzig;
Amsterdam;amsteldami;
Amsterdam;amsteldam leipzig;
Amsterdam;amstelodami;
Amsterdam;amstelredam;
Amsterdam;amstelrodam;
Amsterdam;amstelrodami;
Amsterdam;amsterdam edinburgh;
Amsterdam;amsterdam et a leipzig;
Amsterdam;amsterdam hage;
Amsterdam;amsterdam in the;
Amsterdam;amsterdam leipzig;
Amsterdam;amsterdam london;
Amsterdam;amsterdam netherlands;
Amsterdam;amsterledam;
Amsterdam;amsterodam;
Amsterdam;amsterodami;
Amsterdam;holland;
Amsterdam;netherlands;
Amsterdam;tamsteldam;
Amsterdam;amsterdam;
Amsterdam;t'amsterdam;
